rank,score,name,id,uploads,subs,views,類別
1st,B+,這群人TGOP,UC6FcYHEm7SO1jpu5TKjNXEA,197,3.07M,"714,912,915",
3rd,B,阿滴英文,UCeo3JwE3HezUWFdVcehQk9Q,429,2.37M,"204,815,583",
4th,B+,蔡阿嘎,UCPwxSX0DYDMQxCvgfeVDv_g,624,2.25M,"505,769,097",
8th,A-,阿神,UCnJEWsS5agXCkqIpyHC9Grg,"3,898",2.06M,"959,979,609",
10th,B,眾量級CROWD,UC3LBFXbWtEBdOOUb8-qJm9Q,418,1.78M,"470,342,334",
12th,B+,Joeman,UCPRWWKG0VkBA0Pqa4Jr5j0Q,"1,989",1.71M,"437,152,816",
15th,B+,DE JuN,UC4Aclpo5YyXbKPeiZNO_uiw,789,1.58M,"769,243,589",
18th,B,聖結石Saint,UCIdhd_1spj49unBWx1fjS2A,555,1.47M,"461,069,426",
19th,B+,小玉,UC24h-JBUHXT5HXIK_9cWOmQ,281,1.46M,"458,898,818",
22nd,B,安啾咪,UCjhwHd3mgmqm0ONm0bXKmng,213,1.4M,"203,623,896",
23rd,B+,Jay Lee Painting,UCHm9SiOLG8UoBT8STWY5mVA,366,1.37M,"146,936,166",
24th,B+,WACKYBOYS 反骨男孩,UCEfetJrzg6OcXWWuX8uhdhw,616,1.33M,"441,247,711",
25th,B,放火 Louis,UCuLKTkYGCXako3wMktwrbkQ,218,1.33M,"192,699,235",
26th,B,白癡公主,UCJWXJTaLqI5KBnJuaXbCaTg,193,1.31M,"156,437,759",
27th,B+,人生肥宅x尊,UC6VKHP606ee6ffKwKmBHSig,173,1.31M,"234,558,609",
28th,B+,黃氏兄弟,UCV_S2S-Zs8LeuJxK-T3RQQg,407,1.3M,"247,065,483",
29th,B+,三原JAPAN Sanyuan_JAPAN,UCCBq7s8VOCyek275uvq5lYQ,"1,208",1.28M,"332,954,018",
30th,A-,狠愛演,UCnfPDcASesYjcO5u-ELnb-Q,392,1.27M,"216,844,831",
31st,B,菜喳,UCSckEwXBJmJEUzIo6NplQ5g,557,1.26M,"400,705,370",
32nd,B+,千千進食中,UC9i2Qgd5lizhVgJrdnxunKw,118,1.24M,"139,258,104",
33rd,B,滴妹,UCGpNjY0Xq2GJLXh4OOX1LOA,137,1.23M,"131,103,059",
34th,B,魚乾,UCpgt8SEyAy5tbr9BzVK8Lsg,443,1.21M,"219,375,124",
36th,B+,啾啾鞋,UCIF_gt4BfsWyM_2GOcKXyEQ,394,1.18M,"134,920,182",
37th,B,HowFun,UCxUzQ3wu0oJP_8YLWt71WgQ,587,1.18M,"340,705,618",
39th,B+,蔡阿嘎Life,UCtcaZ5FUqaNXGX6xhpiGPQA,346,1.18M,"217,222,263",
